Restaurant Name,Cuisine,Address,Website,Menu Section , Menu Item , Description , Price,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Squid) , PAD NAM MAN HOI , Stir-fried with oyster sauce,, garlic & onions | ¬£9.95,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Squid) , PAD CHA , Stir-fried with lemongrass,, basil & chilli | ¬£9.95,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Squid) , PAD PRIG TAI DUM , Stir-fried with mushrooms,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,STIR-FRIED (Squid) , NAM PRIG POW , Stir-fried with chilli paste,, basil and chilli | ¬£9.95,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,THAI SALADS , SOM TUM , Papaya and carrot,, time juice, garlic & chilli | ¬£7.95
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,THAI SALADS , SOM TUM (extra prawns) , Papaya and carrot,, time juice, garlic & chilli | ¬£9.95
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,THAI SALADS , TARP GAI , Minced chicken tossed with roasted rice,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,THAI SALADS , YAM WOON SEN , Glass noodle tossed with prawns and squids,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,THAI SALADS , NUA YANG , Thai style grilled sirloin steak served with sticky rice and leo sauce , ¬£15.95,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,FISH AND SEAFOOD , GOONG GRATIAM PRIG TAI , Stir-fried prawns with garlic,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,FISH AND SEAFOOD , PLA LARD PRIK , Crispy cod fillets topped with sweet chilli sauce,,,
Paolina Thai Café,Malaysian,286 Kings Cross Road London N1 9DD,paolinascafe.com,FISH AND SEAFOOD , PAID I ALAY , Stir-fried mixed seafood with lemon grass,,,
